Tanggal,Judul,Konten,Link
2024-05-12 21:00:00,5 Penemuan Al Khawarizmi,"KOMPAS.com- Muhammad bin MusaAl KhawarizmiatauAl Khawarizmi adalahilmuwan Islam yang memiliki pengaruh besar dalam perkembangan ilmu pengetahuan.Bidang ilmu yang dikembangkan oleh Al Khawarizmiantara lain matematika, astronomi, dan geografi.Al Khawarizmi adalah tokoh yang menyusun kitab Aljabar. Di Eropa, ia dikenal dengan Algorismus (nama Latin dari Al Khawarizmi).Beberapa orang juga menganggapnya sebagai sosok yang menemukan angka 0 dengan salah satu karya yang termasyhur berjudul ""Al Jabr wal Muqabalah"", yang sangat berpengaruh bagi peradaban dunia.Berikut beberapapenemuan Al Khawarizmi dalam bidang matematika, astronomi, dan geografi.Baca juga:Al Khawarizmi, Bapak Aljabar DuniaAl Khawarizmi penemu AljabarAl Khawarizmi terkenal sebagai tokoh matematika yang menemukan Aljabar.Kata Aljabar berasal darikarya Al KhawarizmiberjudulAl-Kitab al-Mukhtasar fi Hisab al-Jabr wal-Muqabalahyang dirilis pada tahun 820.Buku tersebut berisi tentang rangkuman perhitungan, penyelesaian, dan penyeimbangan, yang merupakan sebuah metode dasar dalam disiplin Aljabar.MelansirNational Geographic Indonesia, Aljabar merupakan kompilasi aturan, bersama dengan demonstrasi, untuk menemukan solusi persamaan linier dan kuadrat berdasarkan argumen geometris intuitif.Sedangkan Kamus Besar Bahasa Indonesia menartikan Aljabar sebagai cabang matematika yang menggunakan tanda-tanda dan huruf-huruf untuk menggambarkan atau mewakili angka-angka, misalnya a, b, c, sebagai pengganti bilangan yang diketahui dan x, y, z untuk bilangan yang tidak diketahui.Berdasarkan ilmu yang ditemukan oleh Al Khawarizmi tersebut, ia pun dijuluki sebagai Bapak Aljabar Dunia.Baca juga:Leopold von Ranke, Bapak Sejarah ModernMeski tidak sedikit yang mengira Al Khawarizmi sebagai penemu angka nol (0), tetapi pada kenyataannya tidak demikian.Orang yang pertama kali menemukan angka 0 adalah seorang ilmuwan India.Al Khawarizmi tidak menemukan angka 0, tetapi menjadi orang pertama yang menunjukkan kegunaannya pada rumus matematika Aljabar.Penemu AlgoritmaAl Khawarizmi adalah penemu algoritma. MengutipKompas.com, algoritma adalah sekumpulan instruksi terbatas yang dilakukan dalam urutan tertentu untuk melakukan tugas tertentu.",http://www.kompas.com/stori/read/2024/05/12/210000179/5-penemuan-al-khawarizmi
2024-04-26 14:02:00,ByteDance Lebih Pilih Tutup TikTok daripada Dijual ke Amerika,"KOMPAS.com- ""Drama"" antara pemerintah Amerika Serikat (AS) dan perusahaan asal China yang menaungi media sosial populerTikTok,ByteDanceterus berlanjut.Belum lama ini, AS membuat suatu rencana undang-undang (RUU) soal divestasi dan pemblokiran TikTok. RUU ini sudah diloloskan DPR AS melalui kongres, dan konon akan segera diundangkan dan ditandatangani Presiden AS, Joe Biden.Dalam RUU ini, disebutkan bahwa TikTok memiliki dua pilihan untuk operasional TikTok di AS, yaitu menjual TikTok ke perusahaan AS agar terus beroperasi atau TikTok diblokir di AS.Nah, kabar terbaru, yang tercantum dalam laporanReuters, kini menyebutkan bahwa ByteDance lebih memilih untuk menyetop operasional TikTok di AS ketimbang menjual media sosial tersebut ke perusahaan AS, jika proses hukum dan pembicaraan dengan pemerintah AS gagal.Baca juga:Bukan Cuma di AS, TikTok Juga Diributkan di EropaMenurut sumber industri yang dihimpunReuters, alasan dibalik penolakan penjualan TikTok ke perusahaan AS ini adalah karenaalgoritmaTikTok dianggap penting untuk bisnis dan operasional ByteDance secara keseluruhan.Selain itu, algoritma TikTok, suatu mekanisme yang bisa merekomendasikan video-video TikTok berdasarkan minat pengguna, juga dianggap cukup akurat, bagus, dan berbeda dengan platform media sosial lainnya.Dengan begitu, menjual TikTok ke perusahaan AS sama saja dengan membongkar ""rahasia dapur"" ByteDance yang telah mereka kembangkan selama ini ke semua pihak, dan algoritma ini bisa saja dicontek oleh para kompetitor TikTok.Terkait algoritma, sumber industri ini menyebut bahwa akan cukup sulit memisahkan algoritma TikTok AS dengan algoritma TikTok secara keseluruhan, apabila TikTok dijual ke AS. Sehingga, ini bukan merupakan opsi yang ""menguntungkan"" bagi ByteDance.Sumber industri yang dikutipReutersini turut mengatakan bahwa secara bisnis, TikTok sebenarnya hanya berkontribusi kecil pada bisnis ByteDance secara keseluruhan, dan bisnis ByteDance konon tak akan begitu berpengaruh meski TikTok dijual ke perusahaan AS.Artinya, menjual TikTok ke AS akan terbilang sia-sia karena mungkin tak akan membuat ByteDance untung dari segi bisnis dan finansial, belum lagi kerugian yang ditimbulkan dari algoritma TikTok yang berpotensi terekspos tadi.Terkait rumor ini, ByteDance konon menolak untuk berkomentar, sebagaimana dirangkumKompasTeknodariReuters, Jumat (26/4/2024).Baca juga:Tiktok Melawan, Siapkan Langkah Hukum demi Cegah Pemblokiran di ASNamun ByteDance, lewat akun resminya di media sosial berbahasa China Toutiao, mengatakan bahwa mereka tidak ada rencana untuk menjual TikTok ke AS.Pernyataan resmi ini merupakan respons dari sebuah artikel media internasionalTheInformation, yangmenyebutbahwa TikTok tengah menjajaki sejumlah skenario untuk menjual media sosial itu ke AS, namun tanpa teknologi algoritma aplikasi tersebut.Dikasih waktu 9 bulanPixabayIlustrasi TikTokSeperti disebutkan di atas, mengacu pada RUU soal divestasi dan pemblokiran TikTok di AS, ByteDance memiliki dua pilihan untuk operasional TikTok di AS, yaitu menjual TikTok ke perusahaan AS agar terus beroperasi atau TikTok diblokir di AS.",http://tekno.kompas.com/read/2024/04/26/14020037/bytedance-lebih-pilih-tutup-tiktok-daripada-dijual-ke-amerika
2023-10-17 08:36:00,Apa Arti Urutan Orang yang Melihat Story IG Kita? Ini Penjelasannya ,"KOMPAS.com-InstagramStorymerupakan salah satu fitur Instagram yang memungkinkan pengguna mengunggah cerita atau foto dengan durasi singkat.StoryIGakan hilang setelah 24 jam penayangan. Di fitur ini, pengguna bisa mengetahui siapa saja yang sudah melihatstoryAnda. Daftar penonton yang telah melihat story biasanya disajikan dalam vertikal dengan urutan acak.Nah tak jarang pengguna bertanya-tanya bagaimana cara kerjaalgoritmapenontonIG Story.  Pasalnya tak jarang akun-akun pengguna tertentu selalu berada di paling atas sebagai penontonIG story.Dilansir dariPally, algoritma IG Story pun hingga saat ini dirasa masih misterius. Namun dalam ulasan kali ini terdapat eksperimen sebagian pengguna dalam mengartikan urutan penonton IG Story.Baca juga:Kenapa Save Video IG Story Musik Tidak Ada Suaranya? Begini PenjelasannyaUrutan penonton IG StorySebagian pengguna Instagram tak jarang melakukan beberapa eksperimen untuk melihat bagaimana akun lain melihat story IG. Salah satunya dilansir dariPally, Instagram sendiri mulai mengatur daftarnya dengan cara yang berbeda.Ini membuat orang yang paling sering berinteraksi dengan akun itu berada di daftar paling atas. Cara Instagram menyusun daftar orang yang melihat cerita didasarkan pada aturan atau algoritma rahasia.Namun bisa jadi aturan ini mempertimbangkan kunjungan ke profil, menyukai, dan mengomentari untuk menentukan posisi orang dalam daftar.Urutan orang-orang dalam daftar didasarkan pada cara orang lain berinteraksi dengan Anda diplatform,bukan sebaliknya. Jadi, orang yang sering mengunjungi profil Anda akan muncul di bagian atas daftar.Urutan ini didasarkan pada hal-hal seperti seberapa sering Anda berhubungan denganfollowersdan berapa banyak Anda melihat profil mereka, menyukai atau berkomentar pada postingan mereka, serta melihat IG Story mereka.Artinya, untuk mengubah urutan cerita yang muncul, Anda perlu merubah cara berinteraksi dengan orang lain. Urutan ini sangat penting bagi pemilik bisnis yang ingin terlibat di Instagram untuk melihat interaksi audiensnya.Urutan penonton cerita di Instagram memberikan informasi yang bermanfaat untuk membantu pemilik bisnis meningkatkan tingkat konversi.Baca juga:Cara Simpan IG Story Musik Tanpa Menghilangkan LagunyaAlgoritmaIG Story masih misterius dan berubahInstagram terus mengubah cara menampilkan konten kepada pengguna, dan penting bagi pengguna untuk beradaptasi dengan perubahan ini agar bisa menggunakannya sebaik mungkin.Perubahan terbaru dalam algoritma Instagram bertujuan untuk menampilkan postingan yang dianggap bermanfaat bagi pengguna berdasarkan aktivitas mereka sebelumnya. Instagram saat ini sendiri menekankan algoritma pada frekuensi, komunikasi, dan keterlibatan.Perlu diketahui bahwa Instagram atau Meta hingga saat ini masih belum memberikan gambaran algoritma secara jelas. Bukan tidak mungkin Instagram mengubah algoritma tanpa pemberitahuan. Sehingga ulasan di atas tidak dapat dijadikan sebagai acuan tetap oleh pengguna.Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://tekno.kompas.com/read/2023/10/15/17150057/apa-arti-urutan-orang-yang-melihat-story-ig-kita-ini-penjelasannya
2023-11-28 15:00:00,9 Simbol dalam Membangun Algoritme dengan Flowchart,"KOMPAS.com- Flowchart biasanya menggunakan simbol-simbol khusus untuk memudahkan membangun algoritma dari suatu program.Dilansir dari bukuKonsep Dasar Algoritma Dan Pemrograman Dengan Bahasa Java(2020) oleh Evi Lestari Pratiwi, flowchart adalah bentuk gambar/diagram yang mempunyai aliran satu atau dua arah secara sekuensial.Flowchart digunakan untuk merepresentasikan maupun mendesain program.Tujuan dari flowchart adalah untuk menggambarkan suatu tahapan penyelesaian masalah secara sederhana, terurai, rapi, dan jelas dengan menggunakan simbol-simbol standar.Baca juga:Flowchart: Definisi, Fungsi, Jenis, dan ContohnyaSimbol flowchartdan artinyaDikutip dari bukuPemrograman Dasar pada Program Vokasi(2019) oleh Rihartanto, beberapasimbol flowchartyang sering digunakan, antara lain:SimbolNamaKeterangansimbol flowchart terminatorTerminatorDigunakan untuk mengawali dan mengakhiri sebuah flowchart.simbol flowchart input/outputInput/OutputDigunakan untuk menyatakan input/output data.simbol flowchart preparationPreparationDigunakan untuk pemberian nilai awal.simbol flowchart decisionDecisionDigunakan untuk memberikan kondisi untuk memilih salah satu dari dua pilihan.simbol flowchart on page connectorOn-page ConnectorDigunakan sebagai penghubung di antara beberapa flowchart pada halaman yang sama.simbol flowchart off page connectorOff page connectorDigunakan sebagai penghubung di antara beberapa flowchart pada halaman yang berbeda.simbol flowchart processProcessDigunakan untuk melakukan proses, kalkulasi atau manipulasi data.simbol flowchart functionFunctionDigunakan untuk mewakili suatu fungsi (sub-proses) tertentu.simbol flowchart flow lineFlow lineDigunakan sebagai penunjuk arah aliran dan penghubung antarsimbol.Flowchart selalu dimulai dengan terminator Strat (mulai) dan harus diakhiri dengan terminator End (selesai).Arah aliran sebaiknya mengalir secara konsisten dari atas ke bawah dan dari kiri ke kanan.Meskipun tidak dapat dikatakan sebagai kesalahan, namun diusahakan agar tidak ada aliran yang berlawanan arah atas/bawah dan kiri/kanan tersebut.Itulah penjelasan mengenai pengertian flowchart dan sembilan simbolnya.Baca juga:Mengapa Flowchart Kurang Sesuai untuk Menjelaskan Logika yang Lebih Rumit? Ini Penjelasannya ....Simakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2023/11/28/150000069/9-simbol-dalam-membangun-algoritme-dengan-flowchart
2024-01-10 17:05:00,"Fenomena ""Nangisin Capres"" dan Hegemoni Algoritma Digital","DEBATCapres dan Cawapres menuju Pemilu 2024, menyisakan beberapa fenomena menarik yang teramplifikasi di ruang media sosial.Salah satu yang menarik dan mencuri perhatian adalah tren “Nangisin Capres” yang cukup viral di platform TikTok.Secara kontekstual, tren “Nangisin Capres” merupakan reaksi dari para warganet yang sedih dan menangis karena Capres pilihannya mengalami kekalahan dalamdebat Pilpres 2024.Tren tersebut dimanifestasikan dalam bentuk video yang memperlihatkan raut muka sedih dan mata sembab akibat mengeluarkan air mata.Bahkan, tren ini mendapatkan atensi dari warganet di TikTok yang cukup besar dengan lebih dari jutaan views dan ratusan ribulikedancomment.Namun, tidak sedikit, di ruang digital lain – seperti X (Twitter) dan Instagram – yang menganggap bahwa tren “Nangisin Capres” cenderung berlebihan dan bersifat kontraproduktif bagi demokrasi maupun politik elektoral.Atas dasar ini, penulis ingin menganalisis tren “Nangisin Capres” dalam perspektif sosiologi politik untuk dapat melihat kontekstualisasi isu, substansi, dan paradigma pemilih yang didominasi oleh anak muda.Reaksi publikMenilik ke belakang, tren “Nangisin Capres” sudah mulai bermunculan di platform TikTok sejak debat Capres yang ke-1 pada 12 Desember 2023. Dalam debat tersebut, terlihat secara objektif bahwa Capres nomor duaPrabowo Subiantotidak tampil secara maksimal.Kemudian, tren ini kembali melambung ketika Prabowo dinilai tampil buruk dalam debat Pilpres ke-3 (7/1). Bahkan, dalam debat tersebut, capres nomor satuAnies Baswedandan Capres nomor tigaGanjar Pranowotampak berhasil memojokkan Prabowo dalam berbagai isu maupun topik substansial.Secara kritis, fenomena ini menggambarkan bagaimana ikatan antara Capres dan konstituennya bukan didasarkan pada basis rasionalitas dan substansi, namun lebih mengarah pada afeksi dan emosional.Karena hal ini, maka ada perasaan dari pemilih yang akan reaktif apabila Capres pilihannya mengalami keadaan yang problematis. Terutama, keadaan tersebut dilahirkan oleh adanya diferensiasi ide, perspektif, dan paradigma dari Capres lain.Padahal, jika dilihat secara holistik, perdebatan yang terjadi berorientasi pada kritik gagasan, narasi, maupun program yang dibawa oleh setiap Capres. Jadi, tidak mengarah pada perdebatan irasional yang bersifat personal dan partikularistik.Walaupun begitu, publik dan konstituen politik dari setiap Capres maupun Cawapres memiliki preferensi yang sangat subjektif dan personal.Oleh karena itu, tren “Nangisin Capres” adalah implikasi logis dari preferensi politik yang didasarkan pada basis afektif atau perasaan.Hegemoni algoritma digitalDalam Pemilu 2024, anak muda mendapatkan posisi yang sentral dan eksponensial untuk menentukan peta elektoral. Bahkan, menurut KPU, ada 52 persen pemilih muda yang berusia 17 tahun hingga 40 tahun.",http://nasional.kompas.com/read/2024/01/10/17053141/fenomena-nangisin-capres-dan-hegemoni-algoritma-digital
2023-09-19 03:00:00,Pengertian dan Jenis-jenis Algoritma Sorting,"KOMPAS.com -Algoritma erat hubungannya dengan pemrograman komputer, salah satu contoh dari algoritma dalam pemrograman adalahSorting(pengurutan).Beberapa macam algoritmasortingtelah dibuat karena proses tersebut sangat mendasar dan sering digunakan. Oleh karena itu, pemahaman atas algoritmasortingmerupakan hal yang sangatlah berguna.Maka dari itu, berikut penjelasan mengenai algoritmasortingbeserta jenis-jenisnya.Baca juga:Algoritma: Definisi, Ciri, Jenis, Struktur dan ContohnyaPengertian algoritma sortingSortingdidefinisikan sebagai pengurutan sejumlah data berdasarkan nilai kunci tertentu. Pengurutan dapat dilakukan dari nilai terkecil ke nilai terbesar (ascending) atau sebaliknya (descending).Maka, dapat dikatakan bahwa algoritmasortingadalah suatu metode untuk mengurutkan data atau elemen-elemen dalam suatu data dengan teratur.Algoritmasortingmerupakan salah satu konsep penting dalam pemrograman, tujuannya untuk mengubah data yang tidak teratur menjadi urutan yang teratur, terutama untuk data yang bertipe numerik ataupun karakter.Baca juga:Ciri-ciri Algoritma PemrogramanJenis-jenis algoritma sortingAda berbagai jenis algoritmasortingyang dapat digunakan untuk mengurutkan berdasarkan kebutuhan datanya, adapun jenis-jenis algoritmasortingadalah sebagai berikut:Bubble sortSebagaimana dari namanya “bubble”, konsep dari ide dasarnya adalah seperti “gelembung air” yang secara berangsur-angsur bergerak atau berpindah ke posisinya yang tepat.Bubble sortmengurutkan data dengan cara membandingkan elemen sekarang dengan elemen berikutnya.Cara kerjanya adalah dengan berulang-ulang melakukantraversal(proseslooping) terhadap elemen-elemen struktur data yang belum diurutkan.Di dalamtraversaltersebut, nilai dari dua elemen struktur data dibandingkan, apabila datanya belum urut maka akan dilakukan pertukaran.Maka, dapat dikatakan bahwamembandingkan masing-masing item dalam suatu data yang diberikan secara berpasangan merupakan konsepdari algoritma jenis bubble sort.Bubble sortakan berhenti ketika seluruharraytelah diperiksa dan tidak ada pertukaran lagi yang bisa dilakukan, serta tercapai perurutan yang telah diinginkan.Baca juga:Apa itu Notasi Algoritma?Insertion sortSalah satu algoritmasortingyang paling sederhana adalahinsertion sort, di mana jenis ini dianalogikan seperti mengurutkan kartu, selembar demi selembar kartu diambil dan disisipkan (insert) ke tempat yang seharusnya.Algoritmainsertion sortpada dasarnya memilah data yang akan diurutkan menjadi dua bagian, yang belum diurutkan dan yang sudah diurutkan.",http://www.kompas.com/skola/read/2023/09/19/030000969/pengertian-dan-jenis-jenis-algoritma-sorting
2024-03-08 15:02:00,Hasto Sebut Ada Algoritma yang Kunci Suara Ganjar-Mahfud Mentok di 17 Persen,"JAKARTA, KOMPAS.com- Sekretaris Jenderal (Sekjen)PDI-PHasto Kristianto mengatakan, ada algoritma yang menyebabkan suara pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 3, Ganjar Pranowo dan Mahfud MD maksimal sebesar 17 persen.Hasto mengungkapkan, sistem tersebut terlihat oleh tim Informasi Teknologi (IT) yang dimiliki oleh internal mereka.""Kami banyak bertemu dengan pakar IT yang menemukan persoalan yang sangat fundamental, misalnya dimasukkannya suatu algoritma untuk nge-lockperolehan Pak Ganjar itu hanya maksimum 17 persen,"" katanya di Kampus Universitas Indonesia (UI), Depok, Kamis (7/3/2024).Selain itu, Hasto menyebut terdapat program untuk mengunci autentifikasi terhadap multifaktor yang seharusnya diberikan akses kepada orang-orang tertentu saja.Baca juga:Hasto: Pemilu Ini Terburuk Menurut Ahli, Semua Harus Dibuka agar TransparanAtas dugaan tersebut, Hasto mendorong perlunya audit forensik untuk mengungkap potensi kecurangan yang terjadi dalam penghitungan suara pemilihan umum (Pemilu) 2024.""Ini yang akan kami lakukan sebagai bagian dari temuan-temuan yang sangat penting,"" ujarnya.Hasto juga mengatakan, dirinya sedang mendalami munculnya pergerakan masyarakat yang mengungkapkan kecuranganpemilu 2024.Menurut Hasto, gerakan ini perlu diperhatikan untuk mengungkap kecurangan yang diduga terjadi secara terstruktur, sistematis, dan masif dalam pelaksanaanPemilu 2024.""Karena itu kami terus melakukan komunikasi termasuk dengan beberapa partai politik dalam menyikapi hal ini,"" katanya.Baca juga:Sirekap Pilpres 2024 KPU Data 78 Persen: Anies 24,49 Persen, Prabowo 58,82 Persen, Ganjar 16,68 PersenSementara itu, berdasarkan data terakhir yang diperbarui oleh KPU di situspemilu2024.kpu.go.id, hingga 05 Maret 2024 pukul 19.00 WIB, jumlah suara yang masuk sudah dari 642.953 tempat pemungutan suara (TPS) atau 78,10 persen dari total 823.236 TPS di Indonesia dan luar negeri.Berikut hasil perolehan suara sementara untuk masing-masing pasangan calon (paslon) presiden dan calon wakil presiden (capres-cawapres):Anies Baswedan-Muhaimin Iskandar memperoleh 31.376.661 suara (24,49 persen)Prabowo Subianto-Gibran Rakabuming Raka meraih 75.362.801 suara (58,82 persen)Ganjar Pranowo-Mahfud MD mengumpulkan 21.374.802 suara (16,68 persen).Baca juga:Suara PDI-P Beda dari Ganjar-Mahfud Hasil Exit Poll, Hasto: AnomaliSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://nasional.kompas.com/read/2024/03/08/15024011/hasto-sebut-ada-algoritma-yang-kunci-suara-ganjar-mahfud-mentok-di-17-persen
2024-01-04 15:25:00,"Dua Model Algoritma di TikTok Shop, Penjual Wajib Tahu","JAKARTA, KOMPAS.com -Pelaku bisnis online dapat memanfaatkan data digital untuk mengatur strategi bisnis dan pada akhirnya mendorong penjualan.Saat ini, salah satu platform yang digandrungi masyarakat untuk berbelanja secara online adalahTikTokShop. Survei Populix menemukan, 45 persen masyarakat Indonesia senang berbelanja melalui platformTikTok Shop.Pakar pemasaran sekaligus marketing coach Yosef Aji Baskoro mengatakan, agar bisnis dapat semakin sukses di TikTok Shop, perlu pendekatan data-driven decision making yang terukur dan efektif.Baca juga:Soal Tiktok Shop, Pemerintah Bakal Kembali Panggil TikTok dan TokopediaPengambilan keputusan berbasis data tersebut penting diketahui agar pelaku bisnis tidak harus mengandalkan insting.""Pentingnya pendekatan ini semakin terlihat karena TikTok mengelompokkan algoritmanya menjadi dua model utama yakni stay model dan deal mode,"" kata dia dalam keterangan resmi, dikutip Kamis (4/1/2024).Ia menambahkan, TikTok bukan sekadar paltform hiburan, tetapi juga dapat menjadi lahan mencapai kesuksesasn finansial.Baca juga:Lagi, Kemenkop-UKM Wanti-wanti Tiktok Shop soal RegulasiDengan memahami dua modelalgoritma TikTokdan pengambilan keputusan berbasis data, bisnis berpeluang berkembang secara signifikan di platform.Berikut ini adalah penjelasan mengenai pengelompokkan algoritma stay model dan deal mode:1. Stay ModelModel algoritma ini dapat disebut juga interaksi untuk membuat orang menontong konten sampai habis. Dalam model ini, audiens memiliki ketertarikan pada konten yang memotivasi mereka untuk menonton hingga habis dan memberikan respons positif, seperti like, comment, share, dan save.Interaksi ini akan memberikan data yang berharga sebagai berikut:Engagements & ViewsEngagements mencerminkan ketertarikan audiens, dan views didukung oleh berbagai faktor seperti likes, comments, shares, saves, dan average watch time.Semakin konten menarik dan relevan, jumlah likes, comments, shares, dan saves juga meningkat.Baca juga:Tokopedia Bocorkan Rencana Transaksi Pembayaran di TikTok Shop, Bakal Dipisah?SearchData ini mencerminkan seberapa sering audiens mencari TikTok pelaku usaha. Peningkatan pencarian dapat dilakukan dengan mengatur username, foto profil, dan elemen lainnya agar akun mudah diingat oleh audiens.Average Watch TimeRata-rata waktu menonton konten sebaiknya tidak lebih dari 8 detik. Jika lebih tinggi, menandakan konten Anda menarik dan diminati audiens.",http://money.kompas.com/read/2024/01/04/152522226/dua-model-algoritma-di-tiktok-shop-penjual-wajib-tahu
2023-12-19 10:00:00,3 Perbedaan Pseudocode dan Structured English dalam Algoritma Komputer,"KOMPAS.com-PseudocodedanStructured English(SE) adalah dua bentuk penyajian algoritma dalam komputer.Adapun yang dimaksud algoritma adalah ilmu dasar yang mengaitkan teknik pemrograman dengan logika matematika.SelainPseudocodedanStructuredEnglish, jenis algoritma komputer lainnya adalahflowchart, yang dihadirkan dalam bentuk bangun ruang dua dimensi.Walau sama-sama bentuk algoritma komputer,PseudocodedanStructured Englishcukup berbeda. Apa saja perbedaannya?Baca juga:Bahasa Pemrograman C: Awal Mula dan PengertiannyaBedanyaPseudocodedanStructured EnglishMenurut Khairunnisa, dkk dalamBuku Ajar Logika dan Algoritma(2023),pseudocodeadalah kode yang menyerupai(pseudo).Biasanya kode ini digunakan untuk menulis algoritma dari sebuah permasalahan. Karena itulah,Pseudocodeberisi langkah-langkah penyelesaian masalah.Karena fungsinya sebagai penghubung antara bahasa pemrograman dan manusia,Pseudocodeharus berisi bahasa yang singkat, padat, jelas, dan mudah dimengerti.Meski begitu, tidak ada standar pasti soal penulisannya.Dikutip dari situsTechopedia, Structured Englishadalah bentuk naratif bahasa Inggris yang ditulis dalam rangkaian blok, untuk mewakili hierarki spesifikasi logika.Baca juga:Bahasa Pemrograman Java: Pengertian, Keunggulan dan JenisnyaMetode ini tidak memperlihatkan keputusan atau aturan apa pun. SebaliknyaStructured Englishmenyatakan aturan tertentu.Biasa digunakan oleh perusahaan atau organisasi yang berupaya mengatasi ambiguitas bahasa, dengan menyatakan tindakan juga kondisi yang terjadi.Jelaskan perbedaan antaraPseudocodedanStructured English!Berdasarkan penjelasan di atas, salah satu perbedaanPseudocodedanStructured EnglishadalahPseudocodeberfungsi sebagai penghubung antara bahasa pemrograman dan manusia.SementaraStructured English(SE) berisi naratif bahasa Inggris yang ditujukan untuk mengatasi ambiguitas bahasa.Dilihat dari penggunaannya pun juga berbeda.Baca juga:Jenis-Jenis Tipe Data Pemrograman dan FungsinyaBedanyaPseudocodedanStructured English (SE)adalahPseudocodemerupakan bahasa pemrograman, sedangkan SE adalah bahasa manusia.Terakhir, bedanyaPseudocodedanStructured Englishadalah penulisannya.Pseudocodeditulis dengan kata kunci, sedangkanStructured Englishmemakai bahasa Inggris asli, sepertiIF, THEN, ELSE, dan lain-lain.Jadi, perbedaanPseudocodedanStructured Englishadalah:Pseudocodeuntuk menghubungkan bahasa pemrograman dengan bahasa manusia, sedangkanStructured English (SE)untuk mengatasi ambiguitas bahasaPseudocodeadalah bahasa pemrograman, sedangkanStructured Englishmerupakan bahasa manusiaPseudocodeditulis dengan kata kunci, sementaraStructured Englishmemakai bahasa Inggris asli.Baca juga:Ciri-ciri Algoritma PemrogramanSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://www.kompas.com/skola/read/2023/12/19/100000369/3-perbedaan-pseudocode-dan-structured-english-dalam-algoritma-komputer
2023-09-23 20:46:00,"Pemerintah Berniat Membatasi TikTok Shop, Begini Kata Pengamat","JAKARTA, KOMPAS.com -Pengamat ekonomi digital, Ignatius Untung menolak wacana larangan melarang penggunaan aplikasiTikTok Shopoleh pemerintah.Untung menilai, dirinya tidak melihat alasan kuat media sosial harus dipisah dengan e-commerce dan juga tidak ada dasar yang kuat untuk mengklaim bahwa TikTok Shop terlibat dalam praktik monopoli e-commerce di Indonesia.""Tidak melihat dasarnya harus dipisah. Kalau masalah data, sudah terjadi pertukaran data lintas platform. Terus kalau itu merugikan parapelaku UMKM(Usaha Mikro, Kecil dan Menengah), tidak juga,"" kata dia.Baca juga:Kemendag: TikTok Shop Bukan Dilarang...SHUTTERSTOCKIlustrasi TikTok Shop.Ignatius Untung juga menambahkan, saat ini rekomendasialgoritma TikTokyang bertujuan untuk mengarahkan pengguna ke produk tertentu berdasarkan perilaku onlinenya, juga umum terjadi pada platform teknologi lainnya.Kemudian, Untung juga menyarankan kepada para stakeholder hinggaUMKMuntuk membuat uji publik agar lebih terbuka untuk melihat dampaknya lewat studi.""Seringkali aturan dikeluarkan, namun studinya tak cukup. Belum lagi dampaknya pada UMKM yang omzetnya turun. Jadi ketika mengeluarkan aturan, harus ada studinya, dampaknya seperti apa, berapa banyak. Bukan berarti tak boleh, tapi itu tak dilakukan,"" lanjut Untung.Sebelumnya Asosiasi E-Commerce Indonesia (idEA) memberi masukan ke pemerintah untuk melakukan uji publik terkait revisi Permendag (Peraturan Menteri Perdagangan) Nomor 50 tahun 2020.Baca juga:Pemerintah Diminta Tegas Atur Tiktok Shop“Uji publik aturan ini (revisi Permendag 50/2020) sangat penting, jangan sampai aturan tiba-tiba sudah disahkan, tapi malah akhirnya membuat keriuhan di masyarakat,” kata Ketua idEA Bima Laga.Sebelumnya pemerintah akan mengevaluasi keberadaan TikTok Shop di Indonesia. Hal ini terjadi lantaran integrasi antara media sosial dan e-commerce yang dilakukan TikTok Shop, seharusnya tidak diperbolehkan di Indonesia.Artikel ini telah tayang di Kontan.co.id dengan judul:Pemerintah Berniat Membatasi TikTok Shop, Begini Kata PengamatSimakbreaking newsdanberita pilihankami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel :https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya.",http://money.kompas.com/read/2023/09/23/204600726/pemerintah-berniat-membatasi-tiktok-shop-begini-kata-pengamat
